p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
6.3,-22.239,-32.992,7.366,-77.945,-36.366,-7.236,2.763,-36.166,-3.54,-96.675,-34.428
6.315,-22.252,-32.982,7.362,-77.946,-36.366,-7.244,2.761,-36.161,-3.592,-96.67,-34.446
6.331,-22.266,-32.975,7.358,-77.951,-36.366,-7.261,2.767,-36.153,-3.641,-96.662,-34.452
6.316,-22.281,-32.968,7.342,-77.95,-36.363,-7.273,2.762,-36.151,-3.689,-96.665,-34.457
6.332,-22.297,-32.957,7.337,-77.943,-36.352,-7.279,2.759,-36.146,-3.71,-96.637,-34.467
6.335,-22.301,-32.944,7.321,-77.948,-36.358,-7.278,2.76,-36.145,-3.714,-96.625,-34.475
6.343,-22.305,-32.944,7.31,-77.946,-36.359,-7.274,2.757,-36.145,-3.705,-96.62,-34.469
6.371,-22.302,-32.93,7.302,-77.94,-36.369,-7.274,2.754,-36.146,-3.691,-96.638,-34.465
6.355,-22.294,-32.907,7.299,-77.934,-36.354,-7.279,2.755,-36.145,-3.656,-96.665,-34.459
6.35,-22.311,-32.882,7.294,-77.94,-36.361,-7.273,2.754,-36.149,-3.611,-96.668,-34.459
6.371,-22.301,-32.864,7.31,-77.949,-36.36,-7.264,2.752,-36.156,-3.581,-96.665,-34.46
6.367,-22.292,-32.844,7.32,-77.948,-36.365,-7.243,2.75,-36.162,-3.551,-96.685,-34.456
6.359,-22.306,-32.827,7.326,-77.953,-36.361,-7.242,2.746,-36.168,-3.537,-96.703,-34.451
6.344,-22.329,-32.797,7.335,-77.954,-36.365,-7.24,2.746,-36.172,-3.487,-96.716,-34.449
6.372,-22.349,-32.79,7.349,-77.957,-36.365,-7.247,2.745,-36.179,-3.462,-96.707,-34.455
6.378,-22.36,-32.769,7.35,-77.956,-36.355,-7.245,2.747,-36.181,-3.493,-96.703,-34.391
6.386,-22.364,-32.734,7.341,-77.951,-36.348,-7.248,2.745,-36.182,-3.518,-96.692,-34.39
6.376,-22.367,-32.703,7.343,-77.946,-36.355,-7.254,2.748,-36.174,-3.553,-96.682,-34.397
6.363,-22.366,-32.689,7.352,-77.934,-36.341,-7.264,2.743,-36.169,-3.526,-96.708,-34.324
6.351,-22.367,-32.673,7.378,-77.935,-36.352,-7.291,2.744,-36.17,-3.55,-96.687,-34.351
6.319,-22.369,-32.634,7.413,-77.939,-36.35,-7.315,2.743,-36.169,-3.552,-96.7,-34.35
6.299,-22.377,-32.577,7.444,-77.943,-36.342,-7.306,2.735,-36.171,-3.51,-96.714,-34.339
6.284,-22.4,-32.548,7.466,-77.95,-36.334,-7.303,2.73,-36.167,-3.494,-96.701,-34.366
6.283,-22.416,-32.496,7.474,-77.968,-36.328,-7.308,2.722,-36.161,-3.452,-96.702,-34.386
6.255,-22.389,-32.433,7.474,-77.963,-36.32,-7.329,2.719,-36.163,-3.41,-96.711,-34.392
6.254,-22.388,-32.384,7.471,-77.961,-36.332,-7.336,2.711,-36.164,-3.392,-96.713,-34.407
6.253,-22.402,-32.306,7.469,-77.962,-36.333,-7.336,2.706,-36.162,-3.41,-96.711,-34.414
6.331,-22.411,-32.236,7.46,-77.968,-36.328,-7.338,2.703,-36.155,-3.439,-96.707,-34.421
6.307,-22.419,-32.151,7.458,-77.968,-36.333,-7.332,2.687,-36.155,-3.48,-96.691,-34.419
